v1,date,year,month,price,volumn,train,year_month,y_m,lnp,lag1lnp,newlnp,train_p,test_p,y_hat
100,2007-05,2007,5,11.3,16160.7,0,2007-05,2007m5,2.4248028,2.3608541,-.063948631,-.063948631,,-.17815273
101,2007-06,2007,6,8.8999996,15098.4,0,2007-06,2007m6,2.1860511,2.4248028,.23875165,.23875165,,-.093095042
102,2007-07,2007,7,10.5,20654.6,0,2007-07,2007m7,2.3513753,2.1860511,-.16532421,-.16532421,,-.30100691
103,2007-08,2007,8,9.3999996,22768.1,0,2007-08,2007m8,2.2407095,2.3513753,.1106658,.1106658,,-.16467117
104,2007-09,2007,9,15.8,2285.6001,0,2007-09,2007m9,2.76001,2.2407095,-.51930046,-.51930046,,-.24952441
105,2007-10,2007,10,12.3,1312.4,0,2007-10,2007m10,2.5095992,2.76001,.2504108,.2504108,,.1232097
106,2007-11,2007,11,9.5,1263.4,0,2007-11,2007m11,2.2512918,2.5095992,.25830746,.25830746,,-.010727222
107,2007-12,2007,12,7.5999999,1729.4,0,2007-12,2007m12,2.0281482,2.2512918,.22314358,.22314358,,-.25211746
108,2008-01,2008,1,12.4,89,0,2008-01,2008m1,2.5176964,2.0281482,-.48954821,-.48954821,,-.39244032
109,2008-02,2008,2,16.200001,776.40002,0,2008-02,2008m2,2.7850113,2.5176964,-.26731491,-.26731491,,-.085467219
110,2008-03,2008,3,15,2106.5,0,2008-03,2008m3,2.7080503,2.7850113,.07696104,.07696104,,.19543691
111,2008-04,2008,4,15.9,11836.5,0,2008-04,2008m4,2.766319,2.7080503,-.058268785,-.058268785,,.090405665
112,2008-05,2008,5,10.3,10997.3,0,2008-05,2008m5,2.332144,2.766319,.43417501,.43417501,,.16988254
113,2008-06,2008,6,11.5,16514.699,0,2008-06,2008m6,2.442347,2.332144,-.11020303,-.11020303,,-.18009728
114,2008-07,2008,7,18.9,9278.7998,0,2008-07,2008m7,2.939162,2.442347,-.49681497,-.49681497,,-.10514127
115,2008-08,2008,8,20.200001,4492.7002,0,2008-08,2008m8,3.0056827,2.939162,-.066520691,-.066520691,,.25119621
116,2008-09,2008,9,13.4,7584.1001,0,2008-09,2008m9,2.5952547,3.0056827,.41042805,.41042805,,.35174504
117,2008-10,2008,10,17.6,3692.8999,0,2008-10,2008m10,2.8678989,2.5952547,-.27264428,-.27264428,,.018211978
118,2008-11,2008,11,13.6,3763.7,0,2008-11,2008m11,2.6100698,2.8678989,.25782919,.25782919,,.20111318
119,2008-12,2008,12,11.2,1883.9,0,2008-12,2008m12,2.4159138,2.6100698,.19415593,.19415593,,.04176854
120,2009-01,2009,1,6.0999999,618.79999,0,2009-01,2009m1,1.8082888,2.4159138,.60762501,.60762501,,-.13872665
121,2009-02,2009,2,21.9,2292.6001,0,2009-02,2009m2,3.0864866,1.8082888,-1.2781978,-1.2781978,,-.55993092
122,2009-03,2009,3,14.5,8075.3999,0,2009-03,2009m3,2.6741486,3.0864866,.41233802,.41233802,,.27663505
123,2009-04,2009,4,8,16616.301,0,2009-04,2009m4,2.0794415,2.6741486,.59470701,.59470701,,.17544335
124,2009-05,2009,5,14,13574.4,0,2009-05,2009m5,2.6390574,2.0794415,-.55961585,-.55961585,,-.44624931
125,2009-06,2009,6,10.6,16965.801,0,2009-06,2009m6,2.3608541,2.6390574,.27820325,.27820325,,.060550679
126,2009-07,2009,7,13.9,15140.2,0,2009-07,2009m7,2.6318889,2.3608541,-.27103472,-.27103472,,-.19615309
127,2009-08,2009,8,15.8,6017.7998,0,2009-08,2009m8,2.76001,2.6318889,-.12812114,-.12812114,,.046864893
128,2009-09,2009,9,30.6,1164.1,0,2009-09,2009m9,3.421,2.76001,-.66099,-.66099,,.10115005
129,2009-10,2009,10,13.6,7666.3999,0,2009-10,2009m10,2.6100698,3.421,.81093025,.81093025,,.6282993
130,2009-11,2009,11,10,9247.5,0,2009-11,2009m11,2.3025851,2.6100698,.30748463,.30748463,,.056188744
131,2009-12,2009,12,12,3076.7,0,2009-12,2009m12,2.4849067,2.3025851,-.18232155,-.18232155,,-.24368715
132,2010-01,2010,1,12,3076.7,0,2010-01,2010m1,2.4849067,2.4849067,0,0,,-.09526515
133,2010-02,2010,2,19.1,4515,0,2010-02,2010m2,2.9496884,2.4849067,-.46478176,-.46478176,,-.092020988
134,2010-03,2010,3,18,7309.3999,0,2010-03,2010m3,2.8903718,2.9496884,.059316635,.059316635,,.24312192
135,2010-04,2010,4,12.9,13768.1,0,2010-04,2010m4,2.5572274,2.8903718,.33314443,.33314443,,.23957318
136,2010-05,2010,5,11.3,8346.7998,0,2010-05,2010m5,2.4248028,2.5572274,.13242459,.13242459,,-.035653219
137,2010-06,2010,6,7,17491.1,0,2010-06,2010m6,1.9459101,2.4248028,.47889268,.47889268,,-.1376275
138,2010-07,2010,7,14.3,16850.801,0,2010-07,2010m7,2.6602595,1.9459101,-.71434939,-.71434939,,-.49292722
139,2010-08,2010,8,13.5,20401.1,0,2010-08,2010m8,2.6026897,2.6602595,.057569742,.057569742,,-.017318405
140,2010-09,2010,9,11.3,9740.7002,0,2010-09,2010m9,2.4248028,2.6026897,.17788696,.17788696,,.039963681
141,2010-10,2010,10,22.4,1689.1,0,2010-10,2010m10,3.109061,2.4248028,-.68425822,-.68425822,,-.1681294
142,2010-11,2010,11,14,3351.6001,0,2010-11,2010m11,2.6390574,3.109061,.4700036,.4700036,,.36926675
143,2010-12,2010,12,15.9,629.20001,0,2010-12,2010m12,2.766319,2.6390574,-.12726164,-.12726164,,.049225025
144,2011-01,2011,1,7.4000001,594.40002,0,2011-01,2011m1,2.0014801,2.766319,.76483893,.76483893,,.090939164
